country,L1,L2,L3,L4,L5,L6
Burkina Faso,0,0,0,1,0,0
Benin,0,0,0,1,0,0
The Gambia,0.03030303,0.04040404,0.01010101,0.565656566,0,0.353535354
Gabon,0,0.04950495,0,0.475247525,0.475247525,0
Uganda,0.02,0.03,0.21,0.74,0,0
Malawi,0.16,0.04,0.11,0.69,0,0
