country,L1,L2,L3,L4,L5,L6
Burkina Faso,0,0.010695187,0,0.951871658,0.005347594,0.032085561
Benin,0.08,0.056,0.01,0.518,0.251,0.085
The Gambia,0.039100684,0.024437928,0.009775171,0.656891496,0.009775171,0.26001955
Gabon,0,0.014056225,0,0.868473896,0.110441767,0.007028112
Uganda,0.005025126,0.030150754,0.110552764,0.854271357,0,0
Malawi,0.156469408,0.038114343,0.116349047,0.689067202,0,0
